"id","category","question_type","template_family","variant_id","question","option_a","option_b","option_c","option_d","option_e","correct_answer","correct_answer_text","explanation","source","review_status","image_url"
"Q0214","LSAT-style","causal_flaw","LR-causal_flaw","22","After Vale Hostel introduced self-service check-in, average guest ratings increased. The director concludes that the change caused the increase. The reasoning is vulnerable primarily because it:","Treats an improvement following a change as enough to establish that the change produced the improvement.","Infers that an event is impossible because it is rare.","Assumes that what is true of every organization must be false of this organization.","Rejects the conclusion solely because of the director's character.","Shows that the outcome decreased and then claims it increased.","A","Treats an improvement following a change as enough to establish that the change produced the improvement.","The evidence gives temporal order, but does not rule out other causes.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0490","IQ-style","set_reasoning","IQ-set_reasoning","24","A group has 58 members. 27 solve a word puzzle, 28 solve a number puzzle, and 5 solve both. How many solve at least one of the two puzzles?","50","48","55","58","49","A","50","Count each solver once: 27 + 28 − 5 = 50. Subtract the overlap because it was counted twice.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0102","LSAT-style","strengthen","LR-strengthen","11","After Kestrel Archive introduced a searchable catalogue, weekly document requests fulfilled increased. The director concludes that the change caused the increase. Which additional finding most strengthens the causal conclusion?","The organization measured the outcome only once after the change.","A randomized trial at comparable organizations found greater improvement in the group introducing a searchable catalogue than in the group keeping its previous practice.","Some staff preferred the previous practice.","The new practice has a memorable name.","The director expected the change to help.","B","A randomized trial at comparable organizations found greater improvement in the group introducing a searchable catalogue than in the group keeping its previous practice.","Random assignment and a comparison group help isolate the effect of the intervention. An expectation or label does not provide comparable evidence.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0069","LSAT-style","necessary_assumption","LR-necessary_assumption","7","Grove Recycling plans to fund curbside collection entirely by reducing printing costs. The finance officer argues: ""The printing savings will cover the full cost, so we will not need any other funding for the change."" Which assumption is required?","The printing savings available for the change will be at least as large as its full cost.","Every other possible change would cost more.","The new practice will improve every measured outcome.","The organization will never print anything again.","No staff member will object to the change.","A","The printing savings available for the change will be at least as large as its full cost.","If available printing savings are smaller than the full cost, the stated funding conclusion fails. The stronger claims in the other options are unnecessary.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0473","IQ-style","increasing_differences","IQ-increasing_differences","23","Successive differences increase by 1: 27, 51, 76, 102, 129, ?. Find the next term.","160","158","157","156","155","C","157","The differences are 24, 25, 26, 27; the next is 28. Thus 129 + 28 = 157.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0276","IQ-style","mental_rotation","IQ-mental_rotation","3","A robot faces west. It turns clockwise by 90 degrees, then moves straight ahead 5 metres without turning again. Which direction is it facing?","east","Its direction cannot be determined.","north","west","south","C","north","A 90-degree clockwise turn moves 1 quarter-turn around north, east, south, west. Forward travel does not change orientation.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0084","LSAT-style","causal_flaw","LR-causal_flaw","9","After Iris Garden introduced guided tours, monthly admissions increased. The director concludes that the change caused the increase. The reasoning is vulnerable primarily because it:","Assumes that what is true of every organization must be false of this organization.","Infers that an event is impossible because it is rare.","Rejects the conclusion solely because of the director's character.","Shows that the outcome decreased and then claims it increased.","Treats an improvement following a change as enough to establish that the change produced the improvement.","E","Treats an improvement following a change as enough to establish that the change produced the improvement.","The evidence gives temporal order, but does not rule out other causes.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0123","LSAT-style","evaluate","LR-evaluate","13","After Maple Market introduced loyalty vouchers, weekly purchases increased. The director concludes that the change caused the increase. The answer to which question would be most useful in evaluating the argument?","Do staff prefer morning meetings to afternoon meetings?","Was the director the first person to suggest the change?","Does the organization have a short name?","Was the announcement printed in color?","Did comparable organizations that did not introduce loyalty vouchers experience a similar increase during the same period?","E","Did comparable organizations that did not introduce loyalty vouchers experience a similar increase during the same period?","An increase in the comparison group would suggest a common outside cause; no such increase would make the causal explanation more credible.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0007","LSAT-style","sufficient_assumption","LR-sufficient_assumption","1","At Alder Library, every one of its branches that offers evening hours also has a trained supervisor. A manager concludes that every one that offers evening hours also passes a staffing review. Which additional premise, if assumed, guarantees the conclusion?","Every one of its branches that has a trained supervisor also passes a staffing review.","Some of its branches that has a trained supervisor also passes a staffing review.","Some of its branches that passes a staffing review also offers evening hours.","Every one of its branches that passes a staffing review also offers evening hours.","Every one of its branches that passes a staffing review also has a trained supervisor.","A","Every one of its branches that has a trained supervisor also passes a staffing review.","Adding B → C closes the chain from A to C. Reversed rules and statements about only some objects do not guarantee the conclusion for every A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0137","LSAT-style","sufficient_assumption","LR-sufficient_assumption","14","At North Observatory, every one of its instruments that is used for night observations also has a calibration record. A manager concludes that every one that is used for night observations also has a registered custodian. Which additional premise, if assumed, guarantees the conclusion?","Some of its instruments that has a registered custodian also is used for night observations.","Every one of its instruments that has a registered custodian also has a calibration record.","Some of its instruments that has a calibration record also has a registered custodian.","Every one of its instruments that has a registered custodian also is used for night observations.","Every one of its instruments that has a calibration record also has a registered custodian.","E","Every one of its instruments that has a calibration record also has a registered custodian.","Adding B → C closes the chain from A to C. Reversed rules and statements about only some objects do not guarantee the conclusion for every A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0034","LSAT-style","causal_flaw","LR-causal_flaw","4","After Dune College introduced peer tutoring, the proportion of students passing mathematics increased. The director concludes that the change caused the increase. The reasoning is vulnerable primarily because it:","Treats an improvement following a change as enough to establish that the change produced the improvement.","Rejects the conclusion solely because of the director's character.","Infers that an event is impossible because it is rare.","Shows that the outcome decreased and then claims it increased.","Assumes that what is true of every organization must be false of this organization.","A","Treats an improvement following a change as enough to establish that the change produced the improvement.","The evidence gives temporal order, but does not rule out other causes.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0421","IQ-style","number_sequence","IQ-number_sequence","18","The sequence follows a constant-addition rule: 20, 26, 32, 38, 44, ?. What is the missing number?","49","48","51","53","50","E","50","Add 6 each time; 44 + 6 = 50.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0425","IQ-style","letter_coding","IQ-letter_coding","18","A code shifts every letter 4 places forward in the English alphabet, wrapping Z to A. How is SNOW encoded?","VQRZ","YTUC","XSTB","WRSA","ZUVD","D","WRSA","Shift each letter by 4: S→W, N→R, O→S, W→A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0135","LSAT-style","main_conclusion","LR-main_conclusion","14","The board of North Observatory should retain public lectures for another year. A pilot linked the change with an increase in monthly visitor numbers, and the additional operating cost was small. Although the pilot is not conclusive, its results justify a longer trial. Which statement best expresses the main recommendation?","The pilot linked the change with an increase in monthly visitor numbers.","The pilot was not conclusive.","Every inexpensive pilot should become a permanent policy.","The board should retain public lectures for another year.","The additional operating cost was small.","D","The board should retain public lectures for another year.","The recommendation to continue for a year is the main claim supported by the pilot results and low cost. The remaining relevant statements are reasons or qualifications.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0461","IQ-style","number_sequence","IQ-number_sequence","22","The sequence follows a constant-addition rule: 24, 27, 30, 33, 36, ?. What is the missing number?","42","40","38","39","37","D","39","Add 3 each time; 36 + 3 = 39.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0239","LSAT-style","necessary_assumption","LR-necessary_assumption","24","Xenia Press plans to fund online sample chapters entirely by reducing printing costs. The finance officer argues: ""The printing savings will cover the full cost, so we will not need any other funding for the change."" Which assumption is required?","The new practice will improve every measured outcome.","Every other possible change would cost more.","The printing savings available for the change will be at least as large as its full cost.","The organization will never print anything again.","No staff member will object to the change.","C","The printing savings available for the change will be at least as large as its full cost.","If available printing savings are smaller than the full cost, the stated funding conclusion fails. The stronger claims in the other options are unnecessary.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0263","IQ-style","increasing_differences","IQ-increasing_differences","2","Successive differences increase by 1: 6, 9, 13, 18, 24, ?. Find the next term.","30","31","34","29","32","B","31","The differences are 3, 4, 5, 6; the next is 7. Thus 24 + 7 = 31.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0377","IQ-style","ordering","IQ-ordering","13","Five people each receive a different rank in contest 13. Dee finishes ahead of Eli, Eli ahead of Ari, Ari ahead of Bo, and Bo ahead of Cy. Who finishes fourth?","Dee","Cy","Ari","Bo","Eli","D","Bo","The complete order from first to fifth is Dee, Eli, Ari, Bo, Cy.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0211","LSAT-style","weaken","LR-weaken","22","After Vale Hostel introduced self-service check-in, average guest ratings increased. The director concludes that the change caused the increase. Which finding, if true, most weakens the argument?","Some people first heard about the organization several years ago.","Staff discussed several other possible changes.","The organization had kept records before the change.","At the same time, all bedrooms were refurbished, which independently tends to increase the measured outcome.","The director announced the change in advance.","D","At the same time, all bedrooms were refurbished, which independently tends to increase the measured outcome.","A simultaneous change offers an alternative cause of the improvement. The other findings do not explain the increase.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0113","LSAT-style","evaluate","LR-evaluate","12","After Larch Clinic introduced appointment reminders, the proportion of patients arriving on time increased. The director concludes that the change caused the increase. The answer to which question would be most useful in evaluating the argument?","Was the director the first person to suggest the change?","Does the organization have a short name?","Do staff prefer morning meetings to afternoon meetings?","Was the announcement printed in color?","Did comparable organizations that did not introduce appointment reminders experience a similar increase during the same period?","E","Did comparable organizations that did not introduce appointment reminders experience a similar increase during the same period?","An increase in the comparison group would suggest a common outside cause; no such increase would make the causal explanation more credible.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0148","LSAT-style","quantifier_inference","LR-quantifier_inference","15","At Oak Shelter, some of its volunteers handles nervous animals. Every one of its volunteers that handles nervous animals also has specialist training. Which conclusion follows logically?","None of its volunteers has specialist training.","Some of its volunteers that has specialist training also handles nervous animals.","Some of its volunteers that handles nervous animals do not satisfy the condition 'has specialist training'.","Every one of its volunteers handles nervous animals.","Every one of its volunteers that has specialist training also handles nervous animals.","B","Some of its volunteers that has specialist training also handles nervous animals.","The objects asserted to be A must also be B, establishing at least one object that is both. Nothing establishes that all B are A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0134","LSAT-style","causal_flaw","LR-causal_flaw","14","After North Observatory introduced public lectures, monthly visitor numbers increased. The director concludes that the change caused the increase. The reasoning is vulnerable primarily because it:","Rejects the conclusion solely because of the director's character.","Infers that an event is impossible because it is rare.","Shows that the outcome decreased and then claims it increased.","Assumes that what is true of every organization must be false of this organization.","Treats an improvement following a change as enough to establish that the change produced the improvement.","E","Treats an improvement following a change as enough to establish that the change produced the improvement.","The evidence gives temporal order, but does not rule out other causes.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0136","LSAT-style","must_be_true","LR-must_be_true","14","At North Observatory, every one of its instruments that is used for night observations also has a calibration record. Every one that has a calibration record also has a registered custodian. Which statement must be true?","Every one of its instruments that is used for night observations also has a registered custodian.","Every one of its instruments that has a calibration record also is used for night observations.","None of its instruments that has a registered custodian also has a calibration record.","At least one of its instruments is used for night observations.","Every one of its instruments that has a registered custodian also is used for night observations.","A","Every one of its instruments that is used for night observations also has a registered custodian.","The two conditional rules form A → B → C, so A → C. They do not imply their converses or establish that any A exists.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0375","IQ-style","letter_coding","IQ-letter_coding","13","A code shifts every letter 4 places forward in the English alphabet, wrapping Z to A. How is TREE encoded?","ZXKK","WUHH","XVII","YWJJ","AYLL","C","XVII","Shift each letter by 4: T→X, R→V, E→I, E→I.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0162","LSAT-style","strengthen","LR-strengthen","17","After Quartz School introduced breakfast service, average attendance increased. The director concludes that the change caused the increase. Which additional finding most strengthens the causal conclusion?","The new practice has a memorable name.","The director expected the change to help.","The organization measured the outcome only once after the change.","Some staff preferred the previous practice.","A randomized trial at comparable organizations found greater improvement in the group introducing breakfast service than in the group keeping its previous practice.","E","A randomized trial at comparable organizations found greater improvement in the group introducing breakfast service than in the group keeping its previous practice.","Random assignment and a comparison group help isolate the effect of the intervention. An expectation or label does not provide comparable evidence.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0428","IQ-style","symbol_operation","IQ-symbol_operation","18","Define the operation a ◆ b as (a × b) + 20. What is 21 ◆ 19?","420","422","419","418","417","C","419","Substitute into the definition: (21 × 19) + 20 = 419.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0141","LSAT-style","weaken","LR-weaken","15","After Oak Shelter introduced volunteer training, the number of animals adopted monthly increased. The director concludes that the change caused the increase. Which finding, if true, most weakens the argument?","The director announced the change in advance.","Some people first heard about the organization several years ago.","Staff discussed several other possible changes.","At the same time, adoption fees were temporarily waived, which independently tends to increase the measured outcome.","The organization had kept records before the change.","D","At the same time, adoption fees were temporarily waived, which independently tends to increase the measured outcome.","A simultaneous change offers an alternative cause of the improvement. The other findings do not explain the increase.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0027","LSAT-style","sufficient_assumption","LR-sufficient_assumption","3","At Cedar Transit, every one of its routes that runs overnight also has a backup driver. A manager concludes that every one that runs overnight also has an approved staffing plan. Which additional premise, if assumed, guarantees the conclusion?","Every one of its routes that has a backup driver also has an approved staffing plan.","Some of its routes that has an approved staffing plan also runs overnight.","Every one of its routes that has an approved staffing plan also runs overnight.","Every one of its routes that has an approved staffing plan also has a backup driver.","Some of its routes that has a backup driver also has an approved staffing plan.","A","Every one of its routes that has a backup driver also has an approved staffing plan.","Adding B → C closes the chain from A to C. Reversed rules and statements about only some objects do not guarantee the conclusion for every A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0198","LSAT-style","quantifier_inference","LR-quantifier_inference","20","At Tide Aquarium, some of its tanks houses sensitive species. Every one of its tanks that houses sensitive species also has a monitoring device. Which conclusion follows logically?","Every one of its tanks that has a monitoring device also houses sensitive species.","Every one of its tanks houses sensitive species.","None of its tanks has a monitoring device.","Some of its tanks that has a monitoring device also houses sensitive species.","Some of its tanks that houses sensitive species do not satisfy the condition 'has a monitoring device'.","D","Some of its tanks that has a monitoring device also houses sensitive species.","The objects asserted to be A must also be B, establishing at least one object that is both. Nothing establishes that all B are A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0401","IQ-style","number_sequence","IQ-number_sequence","16","The sequence follows a constant-addition rule: 18, 22, 26, 30, 34, ?. What is the missing number?","39","41","37","36","38","E","38","Add 4 each time; 34 + 4 = 38.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0195","LSAT-style","main_conclusion","LR-main_conclusion","20","The board of Tide Aquarium should retain interactive exhibits for another year. A pilot linked the change with an increase in average visitor ratings, and the additional operating cost was small. Although the pilot is not conclusive, its results justify a longer trial. Which statement best expresses the main recommendation?","The pilot linked the change with an increase in average visitor ratings.","The pilot was not conclusive.","The board should retain interactive exhibits for another year.","The additional operating cost was small.","Every inexpensive pilot should become a permanent policy.","C","The board should retain interactive exhibits for another year.","The recommendation to continue for a year is the main claim supported by the pilot results and low cost. The remaining relevant statements are reasons or qualifications.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0026","LSAT-style","must_be_true","LR-must_be_true","3","At Cedar Transit, every one of its routes that runs overnight also has a backup driver. Every one that has a backup driver also has an approved staffing plan. Which statement must be true?","None of its routes that has an approved staffing plan also has a backup driver.","Every one of its routes that runs overnight also has an approved staffing plan.","Every one of its routes that has an approved staffing plan also runs overnight.","At least one of its routes runs overnight.","Every one of its routes that has a backup driver also runs overnight.","B","Every one of its routes that runs overnight also has an approved staffing plan.","The two conditional rules form A → B → C, so A → C. They do not imply their converses or establish that any A exists.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0301","IQ-style","number_sequence","IQ-number_sequence","6","The sequence follows a constant-addition rule: 8, 16, 24, 32, 40, ?. What is the missing number?","46","47","51","49","48","E","48","Add 8 each time; 40 + 8 = 48.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0298","IQ-style","symbol_operation","IQ-symbol_operation","5","Define the operation a ◆ b as (a × b) + 7. What is 8 ◆ 6?","55","58","56","54","53","A","55","Substitute into the definition: (8 × 6) + 7 = 55.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0040","LSAT-style","principle_application","LR-principle_application","4","Dune College adopts this rule: Approve a pilot if, and only if, its total cost is below 8,000 credits and it can be reversed within one month. A pilot of peer tutoring costs 3300 credits and can be reversed in two weeks. Which judgment follows from the rule?","The rule gives no basis for deciding whether to approve it.","Approve this pilot because it satisfies both required conditions.","Reject it because every pilot must cost nothing.","Approve it only if it is certain to succeed.","Reject it because reversibility is irrelevant.","B","Approve this pilot because it satisfies both required conditions.","Its cost of 3300 credits is below 8,000, and two weeks is within one month. Both necessary and sufficient conditions hold.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0050","LSAT-style","principle_application","LR-principle_application","5","Elm Food Bank adopts this rule: Approve a pilot if, and only if, its total cost is below 8,000 credits and it can be reversed within one month. A pilot of text reminders costs 3400 credits and can be reversed in two weeks. Which judgment follows from the rule?","Reject it because every pilot must cost nothing.","Approve it only if it is certain to succeed.","The rule gives no basis for deciding whether to approve it.","Reject it because reversibility is irrelevant.","Approve this pilot because it satisfies both required conditions.","E","Approve this pilot because it satisfies both required conditions.","Its cost of 3400 credits is below 8,000, and two weeks is within one month. Both necessary and sufficient conditions hold.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0328","IQ-style","symbol_operation","IQ-symbol_operation","8","Define the operation a ◆ b as (a × b) + 10. What is 11 ◆ 9?","108","112","110","107","109","E","109","Substitute into the definition: (11 × 9) + 10 = 109.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0273","IQ-style","increasing_differences","IQ-increasing_differences","3","Successive differences increase by 1: 7, 11, 16, 22, 29, ?. Find the next term.","40","38","37","35","36","C","37","The differences are 4, 5, 6, 7; the next is 8. Thus 29 + 8 = 37.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0119","LSAT-style","necessary_assumption","LR-necessary_assumption","12","Larch Clinic plans to fund appointment reminders entirely by reducing printing costs. The finance officer argues: ""The printing savings will cover the full cost, so we will not need any other funding for the change."" Which assumption is required?","The new practice will improve every measured outcome.","The organization will never print anything again.","No staff member will object to the change.","The printing savings available for the change will be at least as large as its full cost.","Every other possible change would cost more.","D","The printing savings available for the change will be at least as large as its full cost.","If available printing savings are smaller than the full cost, the stated funding conclusion fails. The stronger claims in the other options are unnecessary.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0058","LSAT-style","quantifier_inference","LR-quantifier_inference","6","At Fern Theatre, some of its performances uses pyrotechnics. Every one of its performances that uses pyrotechnics also has a safety officer. Which conclusion follows logically?","Some of its performances that uses pyrotechnics do not satisfy the condition 'has a safety officer'.","None of its performances has a safety officer.","Some of its performances that has a safety officer also uses pyrotechnics.","Every one of its performances uses pyrotechnics.","Every one of its performances that has a safety officer also uses pyrotechnics.","C","Some of its performances that has a safety officer also uses pyrotechnics.","The objects asserted to be A must also be B, establishing at least one object that is both. Nothing establishes that all B are A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0412","IQ-style","multiplication_sequence","IQ-multiplication_sequence","17","Each term is obtained by multiplying the preceding term by the same positive integer: 18, 72, 288, 1152, ?. What comes next?","4608","4609","4611","4606","4607","A","4608","The multiplier is 4, so 1152 × 4 = 4608.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0264","IQ-style","number_matrix","IQ-number_matrix","2","In each row, the third number equals the first multiplied by the second. Row 1: 4, 7, 28. Row 2: 7, 5, 35. Row 3: 9, 5, ?. Find the missing entry.","44","46","43","48","45","E","45","Apply the stated row rule: 9 × 5 = 45.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0033","LSAT-style","evaluate","LR-evaluate","4","After Dune College introduced peer tutoring, the proportion of students passing mathematics increased. The director concludes that the change caused the increase. The answer to which question would be most useful in evaluating the argument?","Was the director the first person to suggest the change?","Does the organization have a short name?","Did comparable organizations that did not introduce peer tutoring experience a similar increase during the same period?","Was the announcement printed in color?","Do staff prefer morning meetings to afternoon meetings?","C","Did comparable organizations that did not introduce peer tutoring experience a similar increase during the same period?","An increase in the comparison group would suggest a common outside cause; no such increase would make the causal explanation more credible.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0487","IQ-style","ordering","IQ-ordering","24","Five people each receive a different rank in contest 24. Dee finishes ahead of Cy, Cy ahead of Bo, Bo ahead of Ari, and Ari ahead of Eli. Who finishes fifth?","Dee","Cy","Ari","Eli","Bo","D","Eli","The complete order from first to fifth is Dee, Cy, Bo, Ari, Eli.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0003","LSAT-style","evaluate","LR-evaluate","1","After Alder Library introduced extended evening hours, weekly book loans increased. The director concludes that the change caused the increase. The answer to which question would be most useful in evaluating the argument?","Does the organization have a short name?","Do staff prefer morning meetings to afternoon meetings?","Did comparable organizations that did not introduce extended evening hours experience a similar increase during the same period?","Was the announcement printed in color?","Was the director the first person to suggest the change?","C","Did comparable organizations that did not introduce extended evening hours experience a similar increase during the same period?","An increase in the comparison group would suggest a common outside cause; no such increase would make the causal explanation more credible.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0161","LSAT-style","weaken","LR-weaken","17","After Quartz School introduced breakfast service, average attendance increased. The director concludes that the change caused the increase. Which finding, if true, most weakens the argument?","The director announced the change in advance.","Some people first heard about the organization several years ago.","At the same time, the school introduced stricter attendance enforcement, which independently tends to increase the measured outcome.","Staff discussed several other possible changes.","The organization had kept records before the change.","C","At the same time, the school introduced stricter attendance enforcement, which independently tends to increase the measured outcome.","A simultaneous change offers an alternative cause of the improvement. The other findings do not explain the increase.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0495","IQ-style","letter_coding","IQ-letter_coding","25","A code shifts every letter 1 place forward in the English alphabet, wrapping Z to A. How is SEED encoded?","UGGF","WIIH","VHHG","TFFE","SEED","D","TFFE","Shift each letter by 1: S→T, E→F, E→F, D→E.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0099","LSAT-style","necessary_assumption","LR-necessary_assumption","10","Juniper Workshop plans to fund tool reservations entirely by reducing printing costs. The finance officer argues: ""The printing savings will cover the full cost, so we will not need any other funding for the change."" Which assumption is required?","The printing savings available for the change will be at least as large as its full cost.","The organization will never print anything again.","Every other possible change would cost more.","The new practice will improve every measured outcome.","No staff member will object to the change.","A","The printing savings available for the change will be at least as large as its full cost.","If available printing savings are smaller than the full cost, the stated funding conclusion fails. The stronger claims in the other options are unnecessary.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0254","IQ-style","number_matrix","IQ-number_matrix","1","In each row, the third number equals the first multiplied by the second. Row 1: 3, 6, 18. Row 2: 6, 4, 24. Row 3: 8, 4, ?. Find the missing entry.","30","32","35","33","31","B","32","Apply the stated row rule: 8 × 4 = 32.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0468","IQ-style","symbol_operation","IQ-symbol_operation","22","Define the operation a ◆ b as (a × b) + 24. What is 25 ◆ 23?","599","598","602","597","600","A","599","Substitute into the definition: (25 × 23) + 24 = 599.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0108","LSAT-style","quantifier_inference","LR-quantifier_inference","11","At Kestrel Archive, some of its documents contains private addresses. Every one of its documents that contains private addresses also requires restricted handling. Which conclusion follows logically?","None of its documents requires restricted handling.","Every one of its documents contains private addresses.","Some of its documents that contains private addresses do not satisfy the condition 'requires restricted handling'.","Some of its documents that requires restricted handling also contains private addresses.","Every one of its documents that requires restricted handling also contains private addresses.","D","Some of its documents that requires restricted handling also contains private addresses.","The objects asserted to be A must also be B, establishing at least one object that is both. Nothing establishes that all B are A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0364","IQ-style","number_matrix","IQ-number_matrix","12","In each row, the third number equals the first multiplied by the second. Row 1: 14, 17, 238. Row 2: 17, 15, 255. Row 3: 19, 15, ?. Find the missing entry.","285","284","283","288","286","A","285","Apply the stated row rule: 19 × 15 = 285.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0032","LSAT-style","strengthen","LR-strengthen","4","After Dune College introduced peer tutoring, the proportion of students passing mathematics increased. The director concludes that the change caused the increase. Which additional finding most strengthens the causal conclusion?","Some staff preferred the previous practice.","The director expected the change to help.","A randomized trial at comparable organizations found greater improvement in the group introducing peer tutoring than in the group keeping its previous practice.","The new practice has a memorable name.","The organization measured the outcome only once after the change.","C","A randomized trial at comparable organizations found greater improvement in the group introducing peer tutoring than in the group keeping its previous practice.","Random assignment and a comparison group help isolate the effect of the intervention. An expectation or label does not provide comparable evidence.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0452","IQ-style","multiplication_sequence","IQ-multiplication_sequence","21","Each term is obtained by multiplying the preceding term by the same positive integer: 22, 44, 88, 176, ?. What comes next?","350","355","351","353","352","E","352","The multiplier is 2, so 176 × 2 = 352.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0122","LSAT-style","strengthen","LR-strengthen","13","After Maple Market introduced loyalty vouchers, weekly purchases increased. The director concludes that the change caused the increase. Which additional finding most strengthens the causal conclusion?","The organization measured the outcome only once after the change.","The director expected the change to help.","Some staff preferred the previous practice.","A randomized trial at comparable organizations found greater improvement in the group introducing loyalty vouchers than in the group keeping its previous practice.","The new practice has a memorable name.","D","A randomized trial at comparable organizations found greater improvement in the group introducing loyalty vouchers than in the group keeping its previous practice.","Random assignment and a comparison group help isolate the effect of the intervention. An expectation or label does not provide comparable evidence.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0279","IQ-style","spatial_cubes","IQ-spatial_cubes","3","A solid cube has edge length 54 cm. All six outer faces are painted. It is cut into cubes of edge length 9 cm. How many small cubes have no painted face?","125","216","70","65","64","E","64","There are 6 small cubes per edge. Only the interior cubes are unpainted: (6 − 2)^3 = 64.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
"Q0067","LSAT-style","sufficient_assumption","LR-sufficient_assumption","7","At Grove Recycling, every one of its loads that contains electronic waste also goes to a specialist facility. A manager concludes that every one that contains electronic waste also has a tracking record. Which additional premise, if assumed, guarantees the conclusion?","Every one of its loads that has a tracking record also goes to a specialist facility.","Some of its loads that has a tracking record also contains electronic waste.","Every one of its loads that has a tracking record also contains electronic waste.","Every one of its loads that goes to a specialist facility also has a tracking record.","Some of its loads that goes to a specialist facility also has a tracking record.","D","Every one of its loads that goes to a specialist facility also has a tracking record.","Adding B → C closes the chain from A to C. Reversed rules and statements about only some objects do not guarantee the conclusion for every A.","Original AI-generated practice item","Draft; not expert-reviewed or psychometrically validated",""
