"id","category","question_type","template_family","variant_id","question","option_a","option_b","option_c","option_d","option_e","correct_answer","correct_answer_text","explanation","source","review_status","image_url","target_time_seconds","timing_status","requires_paper","question_and_choices_word_count"
"R0318","Philosophy / critical thinking","burden_of_support","burden_of_support","5","No one has shown this charm fails, so it works. Best assessment?","The critic has disproved the claim","The evidence directly refutes the universal claim","The claimant still needs supporting reasons","The claim has been independently supported","Both sides are proved correct","C","The claimant still needs supporting reasons","Untested effectiveness remains unsupported by that argument.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0463","Philosophy / critical thinking","freedom_under_stated_definitions","freedom_under_stated_definitions","7","Define free choice as deliberate selection without threats. Both features are given. Assessment?","Free under the stipulated definition","The definition changes mid-argument","A moral verdict does not follow just from freedom","The definition needs information not supplied","Not free under the stipulated definition","A","Free under the stipulated definition","The stipulated requirements are satisfied.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0441","Philosophy / critical thinking","thought_experiment_use","thought_experiment_use","7","I prefer stories about imaginary societies. What does this sentence report?","Replace all need for reasons","Report a personal preference only","Establish how often something happens","Test a principle with a hypothetical case","Prove a real event occurred","B","Report a personal preference only","It states a personal taste rather than testing a principle.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0094","LSAT-style","argument_role","argument_role","4","The club was founded in spring. Its hall is unsafe, so move the meeting. Role of the founding season?","Supporting reason","Objection being considered","Background only","Concession","Main conclusion","C","Background only","The season is incidental to the safety argument.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","29"
"R0306","Philosophy / critical thinking","belief_and_justification","belief_and_justification","4","Could the witness have been mistaken? What kind of stance is expressed?","Belief can be true without being well justified","The evidence supports a tentative belief","No belief is being expressed","The evidence justifies certainty","The conclusion conflicts with the evidence","C","No belief is being expressed","The sentence raises a question rather than asserting an answer.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","41"
"R0082","LSAT-style","parallel_reasoning","parallel_reasoning","1","All owls are birds. Pip is an owl. Therefore Pip is a bird. Which matches?","No roses are trees; this is a tree; it is a rose.","All roses are plants; this is a plant; it is a rose.","Some roses are red; all flowers are red.","All roses are plants; this is a rose; it is a plant.","This rose is red; every rose is red.","D","All roses are plants; this is a rose; it is a plant.","Both valid arguments apply a universal inclusion to a member.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","67"
"R0482","Philosophy / critical thinking","best_philosophical_followup","best_philosophical_followup","4","Someone says 'This is the same person despite changed memories.' Best follow-up?","What colour are their clothes?","Are memories interesting?","Is the person's name short?","What makes personal identity persist in your account?","Do others like the person?","D","What makes personal identity persist in your account?","The question seeks the criterion supporting continuity.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0037","LSAT-style","resolve_discrepancy","resolve_discrepancy","1","A restaurant became more popular, yet its dining room became emptier. Best explanation?","Every customer ate inside.","More customers ordered takeaway.","Nobody ordered delivery.","Its room became smaller.","It stopped selling food.","B","More customers ordered takeaway.","Takeaway can raise popularity without filling tables.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","32"
"R0238","Philosophy / critical thinking","relevance_of_objection","relevance_of_objection","2","A speaker argues for clean water. Someone replies that her shoes are ugly. Assess the response.","Unrelated distraction","Relevant concern about source reliability","Relevant objection to the reasoning","Personal criticism with no stated relevance","Agreement rather than an objection","D","Personal criticism with no stated relevance","Her appearance does not address water policy.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","39"
"R0333","Philosophy / critical thinking","testability","testability","9","Here, consent means freely given, informed agreement. What kind of statement is this?","It expresses a preference","It asks a moral question","It states a definition","An observation could count against it","It is protected against every possible outcome","C","It states a definition","It supplies the working meaning of consent.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","39"
"R0021","LSAT-style","strengthen","strengthen","3","A tutor thinks discussion improves understanding. Which strengthens this?","The class starts early.","Comparable learners assigned discussion explained ideas better.","The textbook is popular.","The tutor likes discussion.","Learners enjoyed the room.","B","Comparable learners assigned discussion explained ideas better.","A comparable assigned group connects discussion to understanding.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","32"
"R0308","Philosophy / critical thinking","belief_and_justification","belief_and_justification","6","The stated rule admits no exceptions: every sealed item is marked. This item is sealed. Assuming the premises, how secure is 'it is marked'?","Belief can be true without being well justified","No belief is being expressed","The evidence justifies certainty","The conclusion conflicts with the evidence","The evidence supports a tentative belief","C","The evidence justifies certainty","It follows deductively from the accepted premises.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","53"
"R0381","Philosophy / critical thinking","consent_reasoning","consent_reasoning","2","Define consent as voluntary agreement. Lee agrees only under a credible threat. Main issue?","Consent is established under the stated definition","Consent is undermined by missing information","Silence alone does not establish consent","Consent to one thing does not establish consent to another","Consent is undermined by coercion","E","Consent is undermined by coercion","The threat undermines voluntariness.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","48"
"R0321","Philosophy / critical thinking","burden_of_support","burden_of_support","8","Prove I did not secretly read your mind; otherwise I did. Best response?","The critic has disproved the claim","The claim has been independently supported","Both sides are proved correct","The claimant still needs supporting reasons","The evidence directly refutes the universal claim","D","The claimant still needs supporting reasons","The speaker cannot establish mind reading by shifting the burden.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0127","LSAT-style","causal_flaw","causal_flaw","1","Successful shops advertise more, so advertising must create their success. What possible alternative is most directly overlooked?","Reversing a possible causal direction","Ignoring selection into the group","Overlooking a common cause","Confusing sequence with causation","Treating a possible cause as the only cause","A","Reversing a possible causal direction","Success may provide money for advertising.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0256","Philosophy / critical thinking","false_choices","false_choices","9","Either an event occurred or it did not occur, with 'occurred' held fixed. Best assessment?","A word changes meaning","The alternatives are genuinely exhaustive as stated","A reasonable third possibility is excluded","The conclusion merely repeats its premise","The response attacks a person","B","The alternatives are genuinely exhaustive as stated","The alternatives are contradictory, leaving no third truth case in ordinary logic.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0465","Philosophy / critical thinking","freedom_under_stated_definitions","freedom_under_stated_definitions","9","An event is called free because it has no admission charge, then treated as proving political liberty. Main issue?","The definition needs information not supplied","The definition changes mid-argument","Free under the stipulated definition","Not free under the stipulated definition","A moral verdict does not follow just from freedom","B","The definition changes mid-argument","A cost meaning is substituted for a liberty meaning.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","49"
"R0411","Philosophy / critical thinking","rights_and_welfare","rights_and_welfare","10","Will the barrier prevent emergency access? What kind of question is this?","A compromise protects both interests partly","Total benefit is treated as decisive","Only a factual question is raised","A value conflict remains unresolved","An individual right limits the choice","C","Only a factual question is raised","It asks about a practical consequence.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","41"
"R0079","LSAT-style","sufficient_assumption","sufficient_assumption","7","Every guest on the list enters. Rui has an invitation. Which rule guarantees entry?","Everyone on the list is invited.","Rui arrived early.","Some invitations are blue.","Everyone invited is on the list.","Listed guests like parties.","D","Everyone invited is on the list.","The rule establishes the sufficient listed status.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","37"
"R0108","LSAT-style","method_of_reasoning","method_of_reasoning","9","Plants near the window grew taller because they received more light. Method?","Explaining an observation","Comparing similar cases","Eliminating alternatives","Offering a counterexample","Applying a general rule","A","Explaining an observation","The light difference is proposed to explain growth.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","27"
"R0073","LSAT-style","sufficient_assumption","sufficient_assumption","1","Every amber ticket gets entry. Lee has a paper ticket. Which added rule guarantees Lee entry?","Lee likes amber.","Every amber ticket is paper.","No amber ticket is digital.","Some paper tickets are amber.","Every paper ticket is amber.","E","Every paper ticket is amber.","The new rule links Lee's paper ticket to the entry-granting category.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","39"
"R0085","LSAT-style","parallel_reasoning","parallel_reasoning","4","No glass tokens float. This token floats, so it is not glass. Which matches?","Some cats sleep; this sleeps; it is a cat.","No cats are plants; this is not a cat; it is a plant.","No cats are plants; this is a plant; it is not a cat.","All cats sleep; this is not a cat; it never sleeps.","No cats are plants; therefore no cats exist.","C","No cats are plants; this is a plant; it is not a cat.","Both use exclusion and membership to rule out the other class.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","68"
"R0198","LSAT-style","plan_vulnerability","plan_vulnerability","9","A parking rule is enforced only at the front gate although vehicles freely use the rear gate. Main weakness?","People can bypass the plan","The plan removes a needed resource","The plan does not reach the target group","The outcome measure can be misleading","The plan addresses the wrong cause","A","People can bypass the plan","Drivers can avoid the enforcement point.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","50"
"R0041","LSAT-style","resolve_discrepancy","resolve_discrepancy","5","A room feels cooler although the thermostat setting stayed the same. Best explanation?","The chairs were moved.","The thermostat was painted.","The room was renamed.","All windows remained shut and conditions unchanged.","An open window lets cold air in.","E","An open window lets cold air in.","The setting is not the only influence on room temperature.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","39"
"R0307","Philosophy / critical thinking","belief_and_justification","belief_and_justification","5","I believe a rumour solely because I want it to be true; later it proves true. What follows about my original reasoning?","No belief is being expressed","The evidence supports a tentative belief","The conclusion conflicts with the evidence","Belief can be true without being well justified","The evidence justifies certainty","D","Belief can be true without being well justified","The eventual truth does not make wishful thinking good evidence.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","51"
"R0216","LSAT-style","parallel_flaw","parallel_flaw","9","Every ingredient tastes good separately, so their mixture must taste good. Which general flaw appears?","Reverses an if-then rule","Infers truth from popularity","Assumes parts guarantee the whole","Generalizes from one case","Treats lack of disproof as proof","C","Assumes parts guarantee the whole","Interaction can change the quality of the combined result.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0172","LSAT-style","premise_vs_inference","premise_vs_inference","1","In 'The footprints are fresh, so someone passed recently,' what is 'The footprints are fresh'?","Observation offered as evidence","Inference drawn from evidence","Question rather than a claim","Definition","Recommendation","A","Observation offered as evidence","It is the stated observation supporting the inference.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","30"
"R0247","Philosophy / critical thinking","relevance_of_objection","relevance_of_objection","11","A speaker presents evidence about animal suffering. Someone changes the discussion to the colour of the chairs. Assess this.","Unrelated distraction","Personal criticism with no stated relevance","Relevant objection to the reasoning","Agreement rather than an objection","Relevant concern about source reliability","A","Unrelated distraction","Chair colour has no stated bearing on the evidence.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0314","Philosophy / critical thinking","burden_of_support","burden_of_support","1","Invisible creatures live here. You cannot disprove them, so accept it. Best response?","The claim has been independently supported","The evidence directly refutes the universal claim","The claimant still needs supporting reasons","The critic has disproved the claim","Both sides are proved correct","C","The claimant still needs supporting reasons","Failure to disprove an assertion is not positive support for it.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0301","Philosophy / critical thinking","consistency","consistency","10","One person uses 'selfish' for any chosen act; another means seeking personal gain. Main source of apparent disagreement?","Only a change over time is described","There is too little information about the wording","The claims can both be true","The speakers use different definitions","The claims contradict each other","D","The speakers use different definitions","The definitions classify actions differently.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","49"
"R0015","LSAT-style","necessary_assumption","necessary_assumption","6","The lost key is in the sealed box because every other possible location was checked. Necessary assumption?","Nobody owns another key.","The box is wooden.","The box is easy to open.","The key opens the box.","The key still occupies a possible location.","E","The key still occupies a possible location.","Eliminating alternatives works only if the key remains within the possibilities.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0185","LSAT-style","assumption_repair","assumption_repair","5","Asked whether a route is safe, a guide describes an unrelated holiday. What strategy is this?","Add evidence for the missing link","Repeat the conclusion more strongly","Change the subject","Attack the critic personally","Add an unrelated fact","C","Change the subject","The guide leaves the safety question rather than answering it.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0143","LSAT-style","sampling_flaw","sampling_flaw","8","A courier judges all delivery routes from a route closed by a landslide. Main issue?","Only dissatisfied people were sampled","The sample excludes relevant people","Only satisfied people were sampled","One unusual case is overgeneralized","No sampling flaw is specified","D","One unusual case is overgeneralized","An exceptional route is used to characterize all routes.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","40"
"R0112","LSAT-style","conditional_inference","conditional_inference","4","All members may vote. Rae is not a member. Claim: Rae may vote.","Must be true","Could be true or false","No factual claim is made","Must be false","Premises contradict each other","B","Could be true or false","The rule does not say that only members may vote.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","33"
"R0210","LSAT-style","parallel_flaw","parallel_flaw","3","Like saying a rumour is true because everyone repeats it, someone calls a theory true because it is fashionable. Shared flaw?","Generalizes from one case","Treats lack of disproof as proof","Infers truth from popularity","Assumes parts guarantee the whole","Reverses an if-then rule","C","Infers truth from popularity","Acceptance is substituted for evidence of truth.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","44"
"R0207","LSAT-style","short_passage_purpose","short_passage_purpose","9","A reason for believing a claim is not automatically a cause of the event described. Main purpose?","Explain an apparent puzzle","Distinguish two concepts","Report a change without arguing","Defend a recommendation","Qualify an overly broad claim","B","Distinguish two concepts","It separates evidential support from causal explanation.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","37"
"R0058","LSAT-style","evaluate_argument","evaluate_argument","4","An alarm should prevent missed appointments. Best question?","What is the phone's colour?","Is its icon attractive?","Will users notice it before appointments?","Do appointments have names?","Who invented calendars?","C","Will users notice it before appointments?","A timely noticed reminder is necessary for the proposed benefit.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","30"
"R0416","Philosophy / critical thinking","responsibility_and_control","responsibility_and_control","4","A person understands the effect and freely chooses it. Which feature is described?","Deliberate informed choice is described","Relevant knowledge is missing","Control is reduced by a threat","Control is absent in the described act","The facts do not settle control or knowledge","A","Deliberate informed choice is described","Both awareness and voluntary choice are supplied.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0026","LSAT-style","strengthen","strengthen","8","A teacher says private feedback encourages participation. Which supports this?","Quiet pupils participated more after feedback became private.","Some pupils like sports.","Feedback takes time.","The teacher enjoys teaching.","The classroom has posters.","A","Quiet pupils participated more after feedback became private.","The change matches the predicted effect on participation.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","33"
"R0336","Philosophy / critical thinking","epistemic_humility","epistemic_humility","1","A trusted belief conflicts with strong, independently checked evidence. Best reasoning response?","Keep the belief regardless of all evidence","Revise confidence in light of relevant evidence","Treat uncertainty as proof of falsehood","Accept whichever view is more popular","Treat confidence as proof of truth","B","Revise confidence in light of relevant evidence","Beliefs should respond to the quality of relevant evidence.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","44"
"R0408","Philosophy / critical thinking","rights_and_welfare","rights_and_welfare","7","Even a useful experiment must respect participants' stated right to withdraw. Which priority appears?","A compromise protects both interests partly","An individual right limits the choice","A value conflict remains unresolved","Total benefit is treated as decisive","Only a factual question is raised","B","An individual right limits the choice","Withdrawal rights restrict what benefits may justify.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0068","LSAT-style","counterexample","counterexample","5","Claim: Only adults can act responsibly. Counterexample?","A child acts badly.","An adult acts responsibly.","A child acts responsibly.","Someone avoids responsibility.","An adult acts badly.","C","A child acts responsibly.","A responsible non-adult violates the restriction.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","26"
"R0278","Philosophy / critical thinking","meaning_and_ambiguity","meaning_and_ambiguity","9","For this rule, a promise is an explicit commitment. This explicit commitment is a promise under the rule. Assessment?","A personal preference settles the definition","An ambiguous term needs clarification","A key word changes meaning","A factual contradiction is established","The same meaning is used consistently","E","The same meaning is used consistently","The same definition is maintained.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","46"
"R0414","Philosophy / critical thinking","responsibility_and_control","responsibility_and_control","2","A person complies because of a credible threat. Which feature matters?","Control is reduced by a threat","Relevant knowledge is missing","Deliberate informed choice is described","The facts do not settle control or knowledge","Control is absent in the described act","A","Control is reduced by a threat","Coercion constrains the choice even if an action is performed.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","41"
"R0384","Philosophy / critical thinking","consent_reasoning","consent_reasoning","5","Rae agrees to share a photo privately. Someone treats this as permission to publish it publicly. Main issue?","Consent to one thing does not establish consent to another","Consent is undermined by missing information","Consent is undermined by coercion","Silence alone does not establish consent","Consent is established under the stated definition","A","Consent to one thing does not establish consent to another","The purpose and audience exceed the agreement.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","52"
"R0086","LSAT-style","parallel_reasoning","parallel_reasoning","5","The switch is on or the battery is flat. The switch is not on, so the battery is flat. Which matches?","Tea or coffee is available; tea; no coffee.","Tea or coffee is available; no tea; coffee is available.","Tea is available; coffee must be too.","Coffee is popular; tea is unavailable.","No tea is available; no coffee is available.","B","Tea or coffee is available; no tea; coffee is available.","Both eliminate one alternative from an exhaustive disjunction.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","60"
"R0430","Philosophy / critical thinking","charitable_interpretation","charitable_interpretation","7","He recommends occasional quiet hours; she accuses him of banning all conversation. What approach is used?","Replace the view with an extreme version","Agree merely to avoid discussion","Ask what the ambiguous claim means","Attack the speaker instead of the idea","Interpret the strongest reasonable version","A","Replace the view with an extreme version","The scope of the recommendation is exaggerated.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","46"
"R0351","Philosophy / critical thinking","fact_value_distinction","fact_value_distinction","5","People have always done this; therefore everyone ought to do it. What is missing?","A definition for this discussion","A descriptive claim","A recommendation","A descriptive premise alone does not establish an obligation","A value judgment","D","A descriptive premise alone does not establish an obligation","An additional evaluative premise is needed to connect practice to duty.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","36"
"R0299","Philosophy / critical thinking","consistency","consistency","8","All knowledge is certain. Some knowledge is uncertain, using the same sense of certain. Are these consistent?","The claims can both be true","The speakers use different definitions","The claims contradict each other","Only a change over time is described","There is too little information about the wording","C","The claims contradict each other","The existential exception conflicts with the universal statement.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","48"
"R0029","LSAT-style","weaken","weaken","2","Our new logo caused sales to rise. Which weakens this?","The logo uses green.","Customers saw the logo.","The designer was paid.","The shop has windows.","A major competitor closed at the same time.","E","A major competitor closed at the same time.","A competitor's closure offers another explanation for sales growth.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","34"
"R0040","LSAT-style","resolve_discrepancy","resolve_discrepancy","4","A store receives fewer complaints after making returns harder. Best explanation?","Return rules stayed identical.","Complaints were mandatory.","Products became impossible to buy.","Customers stopped bothering to report problems.","Every customer complained more.","D","Customers stopped bothering to report problems.","Complaint counts can fall because reporting becomes less worthwhile.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","33"
"R0493","Philosophy / critical thinking","responding_to_objections","responding_to_objections","4","You say disagreement proves no answer is true. A critic cites disagreement about a known fact. Best response?","Accuse the critic of arrogance.","Reconsider whether disagreement alone establishes that conclusion.","Repeat that disagreement exists.","Change the subject to manners.","Count how many people like you.","B","Reconsider whether disagreement alone establishes that conclusion.","The counterexample challenges the inference, not the existence of disagreement.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
"R0329","Philosophy / critical thinking","testability","testability","5","Is it fair to punish someone for an unavoidable mistake? What kind of question is this?","It states a definition","It asks a moral question","An observation could count against it","It is protected against every possible outcome","It expresses a preference","B","It asks a moral question","It asks about moral evaluation rather than directly predicting an observation.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0139","LSAT-style","sampling_flaw","sampling_flaw","4","A reviewer meets one rude tourist and condemns all tourists. Main sampling issue?","Only dissatisfied people were sampled","The sample excludes relevant people","No sampling flaw is specified","One unusual case is overgeneralized","Only satisfied people were sampled","D","One unusual case is overgeneralized","A single encounter does not represent the group.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0134","LSAT-style","causal_flaw","causal_flaw","8","The server failed after a desk was moved. Moving the desk caused the failure. Main gap?","Treating a possible cause as the only cause","Reversing a possible causal direction","Overlooking a common cause","Ignoring selection into the group","Confusing sequence with causation","E","Confusing sequence with causation","Timing alone does not connect the events causally.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0042","LSAT-style","resolve_discrepancy","resolve_discrepancy","6","A park attracts more visitors but produces less litter. Best explanation?","All bins were removed.","Visitors dropped more rubbish each.","Cleaning stopped entirely.","Visitors began using newly installed bins.","Food was newly allowed everywhere.","D","Visitors began using newly installed bins.","Better disposal can reduce litter despite greater attendance.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","34"
"R0156","LSAT-style","argument_flaw_plain_language","argument_flaw_plain_language","3","Either ban all games or accept that children never study. What goes wrong?","Assuming the conclusion in the support","Attacking the person instead of the reason","Changing the meaning of a key word","Presenting too few alternatives","Misrepresenting the opposing view","D","Presenting too few alternatives","Other arrangements, such as limited gaming, are excluded.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","41"
"R0410","Philosophy / critical thinking","rights_and_welfare","rights_and_welfare","9","The argument names liberty and security but gives no way to weigh them. What remains?","Only a factual question is raised","A compromise protects both interests partly","Total benefit is treated as decisive","An individual right limits the choice","A value conflict remains unresolved","E","A value conflict remains unresolved","Their relative priority has not been decided.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","44"
"R0183","LSAT-style","assumption_repair","assumption_repair","3","Asked why a source is reliable, someone says 'It is absolutely reliable.' What strategy is this?","Add evidence for the missing link","Repeat the conclusion more strongly","Add an unrelated fact","Attack the critic personally","Change the subject","B","Repeat the conclusion more strongly","Stronger wording adds no independent support.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","38"
"R0276","Philosophy / critical thinking","meaning_and_ambiguity","meaning_and_ambiguity","7","The argument is sound. Sound is audible. Therefore the argument is audible. Main issue?","A personal preference settles the definition","The same meaning is used consistently","A factual contradiction is established","A key word changes meaning","An ambiguous term needs clarification","D","A key word changes meaning","Logical soundness is confused with noise.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","41"
"R0092","LSAT-style","argument_role","argument_role","2","Although repairs are costly, the bridge is essential and should be fixed. Role of 'repairs are costly'?","Objection being considered","Background only","Main conclusion","Concession","Supporting reason","D","Concession","The writer accepts a drawback while maintaining the recommendation.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","27"
"R0372","Philosophy / critical thinking","intentions_and_outcomes","intentions_and_outcomes","4","Two careful rescuers equally intend to help; luck lets only one succeed. What does this show?","Bad outcome does not prove bad intention","Good intention does not guarantee a good outcome","The same outcome can arise from different intentions","The same intention can produce different outcomes","Intention and outcome are both unspecified","D","The same intention can produce different outcomes","A common intention can have different results under different circumstances.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","52"
"R0225","LSAT-style","agreement_and_entailment","agreement_and_entailment","9","A: The story is fictional. B: It is beautifully written. Claim: The author lives nearby.","Neither takes a position on it","Only one takes a position on it","Both speakers explicitly reject it","They explicitly disagree about it","Both speakers explicitly accept it","A","Neither takes a position on it","Neither comments on the author's residence.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","43"
"R0296","Philosophy / critical thinking","consistency","consistency","5","No exceptions are justified. This exception is justified. Are these consistent?","Only a change over time is described","The speakers use different definitions","There is too little information about the wording","The claims contradict each other","The claims can both be true","D","The claims contradict each other","The particular endorsement directly contradicts the universal denial.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","42"
"R0292","Philosophy / critical thinking","consistency","consistency","1","I never lie. I knowingly lied yesterday. Assume 'never' covers yesterday. Are these consistent?","The claims contradict each other","Only a change over time is described","The speakers use different definitions","There is too little information about the wording","The claims can both be true","A","The claims contradict each other","The admitted instance violates the universal denial.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
"R0488","Philosophy / critical thinking","best_philosophical_followup","best_philosophical_followup","10","Someone says 'Following rules is always right.' Best follow-up?","Are rules usually printed?","Do you like orderly rooms?","What if a rule requires harming an innocent person?","Is the rule easy to memorize?","Who designed the sign?","C","What if a rule requires harming an innocent person?","The difficult case tests the universal ethical claim.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","37"
"R0466","Philosophy / critical thinking","freedom_under_stated_definitions","freedom_under_stated_definitions","10","The action was uncoerced, so no ethical criticism of it is possible. Main issue?","A moral verdict does not follow just from freedom","The definition changes mid-argument","The definition needs information not supplied","Free under the stipulated definition","Not free under the stipulated definition","A","A moral verdict does not follow just from freedom","Voluntariness alone does not rule out moral criticism.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","44"
"R0499","Philosophy / critical thinking","responding_to_objections","responding_to_objections","10","You call an argument invalid because its conclusion is false. A critic asks about its structure. Best response?","Attack the critic.","Repeat that falsehood is bad.","Change the example's subject.","Separate whether the conclusion follows from whether premises are true.","Say all arguments are opinions.","D","Separate whether the conclusion follows from whether premises are true.","Logical consequence and actual truth are distinct issues.","Original AI-authored short practice item","Draft; not expert-reviewed or psychometrically validated","","30","Design target; not measured with users","false","45"
